split,label,path
train,other,F:\audio_dataset\ESC-50-master\audio\2-124564-A-15.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0774.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0125.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-124958-A-28.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-223162-A-25.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0076.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-158056-B-31.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-254160-A-22.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0204.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\5-244315-B-6.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0062.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0197.wav
train,indoor_music,F:\audio_dataset\musan\music\rfm\music-rfm-0144.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0671.wav
train,outdoor_dog_bark,F:\audio_dataset\ESC-50-master\audio\1-59513-A-0.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0239.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0429.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0073.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-254832-B-15.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-104877-A-3.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0496.wav
train,outdoor_dog_bark,F:\audio_dataset\ESC-50-master\audio\4-192236-A-0.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-249748-A-28.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-186518-A-30.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0798.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-103418-A-2.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-232802-A-31.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0020.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-255371-A-47.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0520.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0377.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0084.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0144.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0127.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-155858-B-25.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-19898-C-41.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0011.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\1-27724-A-1.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0409.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0210.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-155234-A-43.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-119648-D-48.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-60795-A-26.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-115545-C-48.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0293.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-72547-A-14.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0152.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0007.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0269.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-185575-C-20.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-243036-A-29.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-261464-A-23.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0089.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-127990-A-2.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-188796-A-45.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0188.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-83934-A-5.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-160614-A-48.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0057.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0140.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-196660-B-8.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-82071-A-27.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-257349-A-15.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0695.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0148.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-212054-A-36.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0562.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\2-109231-B-9.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-257839-A-14.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-125825-B-46.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0633.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\2-71162-A-1.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-30043-A-26.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0581.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-168868-A-17.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0316.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0195.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0178.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0764.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0400.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-131943-A-37.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-253101-B-49.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0004.wav
train,outdoor_dog_bark,F:\audio_dataset\ESC-50-master\audio\4-182395-A-0.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-152594-A-30.wav
train,outdoor_rain,F:\audio_dataset\ESC-50-master\audio\5-202898-A-10.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-178997-A-24.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0171.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0031.wav
train,outdoor_wind,F:\audio_dataset\ESC-50-master\audio\1-47714-A-16.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0580.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0023.wav
train,indoor_music,F:\audio_dataset\musan\music\rfm\music-rfm-0086.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-70936-A-42.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0457.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0276.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-115546-A-48.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-198025-A-23.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-43807-A-47.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-106072-A-36.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0663.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0196.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0035.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-204121-A-39.wav
train,outdoor_wind,F:\audio_dataset\ESC-50-master\audio\5-217186-A-16.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0015.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0088.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-106015-A-44.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0036.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-211527-C-20.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0032.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0571.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-35687-A-38.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-135439-A-18.wav
train,indoor_music,F:\audio_dataset\musan\music\rfm\music-rfm-0145.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0806.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0349.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0323.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-110537-A-22.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0105.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-172649-A-40.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0122.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-66205-A-23.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0179.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-204777-A-39.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0153.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-102414-B-17.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-242491-A-14.wav
train,indoor_noise,F:\audio_dataset\musan\noise\sound-bible\noise-sound-bible-0023.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0742.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-80841-A-13.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-33658-A-26.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\4-145081-A-9.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-100024-A-27.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-104958-A-12.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-103421-A-2.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-69131-B-5.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-251426-A-30.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-203371-A-39.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0153.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0048.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0519.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-98771-A-18.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0673.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-198278-A-7.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-98676-A-24.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0393.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0128.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-144253-A-29.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0609.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-62594-A-32.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0114.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\1-39923-A-1.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-81883-A-21.wav
train,indoor_noise,F:\audio_dataset\musan\noise\sound-bible\noise-sound-bible-0053.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-201300-A-31.wav
train,outdoor_rain,F:\audio_dataset\ESC-50-master\audio\5-194892-A-10.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0148.wav
train,indoor_music,F:\audio_dataset\musan\music\fma-western-art\music-fma-wa-0011.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0128.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0074.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0083.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0077.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\4-136381-A-9.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-138465-A-43.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-128512-B-47.wav
train,outdoor_dog_bark,F:\audio_dataset\ESC-50-master\audio\2-114280-A-0.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0095.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0535.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0121.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-89516-A-37.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0002.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0115.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0025.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-260875-A-35.wav
train,indoor_music,F:\audio_dataset\musan\music\rfm\music-rfm-0116.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0185.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-82077-A-7.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0148.wav
train,indoor_noise,F:\audio_dataset\musan\noise\sound-bible\noise-sound-bible-0077.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-189212-A-12.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-147240-B-2.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0208.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0006.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0026.wav
train,indoor_music,F:\audio_dataset\musan\music\rfm\music-rfm-0004.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0703.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0793.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-13613-A-37.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-181071-B-40.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-187769-B-14.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-188033-A-38.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-68595-A-15.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0572.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-191015-A-43.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0164.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0060.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-114609-A-28.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\3-112397-A-9.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-143560-A-47.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0106.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-137-A-32.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0438.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-253084-C-2.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0807.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\3-149189-A-1.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0216.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\2-108763-A-9.wav
train,outdoor_birdsong,F:\audio_dataset\ESC-50-master\audio\2-157488-A-6.wav
train,indoor_music,F:\audio_dataset\musan\music\jamendo\music-jamendo-0074.wav
train,indoor_noise,F:\audio_dataset\musan\noise\sound-bible\noise-sound-bible-0075.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0037.wav
train,indoor_speech,F:\audio_dataset\musan\speech\us-gov\speech-us-gov-0018.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-220955-A-40.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0387.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-135649-A-45.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-158056-A-31.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0021.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0493.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-205738-A-22.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0073.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-134700-A-38.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0298.wav
train,other,F:\audio_dataset\ESC-50-master\audio\2-70367-A-33.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0140.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0085.wav
train,other,F:\audio_dataset\ESC-50-master\audio\4-120160-A-5.wav
train,other,F:\audio_dataset\ESC-50-master\audio\5-117120-A-42.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-155858-D-25.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0006.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-105236-A-7.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0620.wav
train,indoor_noise,F:\audio_dataset\musan\noise\sound-bible\noise-sound-bible-0034.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0182.wav
train,other,F:\audio_dataset\ESC-50-master\audio\1-18757-A-4.wav
train,other,F:\audio_dataset\ESC-50-master\audio\3-143119-A-21.wav
train,indoor_music,F:\audio_dataset\musan\music\fma\music-fma-0099.wav
train,indoor_noise,F:\audio_dataset\musan\noise\free-sound\noise-free-sound-0075.wav
train,indoor_speech,F:\audio_dataset\musan\speech\librivox\speech-librivox-0142.wav
train,indoor_noise,F:\audio_dataset\musan\noise\sound-bible\noise-sound-bible-0050.wav
